Soil Type,pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Moisture (%),Crop Type,Growth Stage,Temperature (°C),Rainfall (mm),Humidity (%),Sunlight (hours),Fertilizer Type,Fertilizer Amount (kg/ha),Yield (kg/ha),Cost (USD),Profit (USD)
Sandy,6.54,34.86,38.58,38.25,2.76,28.63,Barley,Maturity,21.42,97.51,63.79,5.55,Inorganic,104.21,4211.84,244.21,1748.41
Clay,5.75,60.93,20.62,32.44,2.34,17.23,Maize,Vegetative,22.03,120.24,74.2,7.23,Inorganic,179.83,3919.71,228.06,1541.92
Loamy,7.42,32.71,37.04,39.5,1.6,19.05,Wheat,Germination,22.03,73.4,63.72,6.18,Organic,135.98,3251.39,229.09,1949.76
Loamy,6.08,66.31,27.95,39.15,2.69,23.38,Wheat,Maturity,23.88,133.86,53.8,5.27,Mixed,189.96,3172.66,238.34,1687.17
Loamy,7.21,41.27,31.23,38.4,2.2,20.39,Rice,Maturity,21.09,123.79,50.14,6.49,Mixed,148.91,2649.54,243.49,1883.17
Sandy,6.28,65.96,30.26,37.57,2.57,31.33,Rice,Maturity,34.72,84.26,74.79,9.46,Organic,208.66,3583.93,241.41,1754.53
Clay,6.15,60.94,38.51,39.94,3.03,27.47,Soybean,Germination,32.83,62.03,81.47,9.21,Organic,197.01,3531.38,252.59,1743.55
Loamy,7.37,64.85,35.4,31.46,3.11,21.67,Corn,Flowering,21.04,100.48,73.73,9.41,Inorganic,240.96,3766.83,259.07,1435.16
Loamy,6.23,38.56,39.7,30.77,3.23,21.36,Corn,Flowering,22.16,148.05,50.96,6.96,Mixed,172.29,4015.34,184.46,1649.23
Loamy,6.28,53.83,35.89,31.28,2.77,28.67,Rice,Germination,23.93,52.43,57.68,9.39,Organic,138.76,3177.79,270.42,1446.7
Sandy,5.71,33.74,25.92,34.0,3.31,18.41,Maize,Germination,31.63,134.49,83.12,9.76,Organic,165.39,3509.54,268.47,1367.46
Sandy,6.84,38.09,39.26,35.56,2.88,20.61,Soybean,Vegetative,30.71,119.98,74.84,9.79,Organic,242.92,3301.69,166.75,1234.36
Clay,6.08,42.4,39.67,33.39,3.07,22.07,Rice,Vegetative,29.46,68.32,75.81,5.62,Mixed,190.15,2579.04,217.14,1781.13
Sandy,6.67,59.63,22.46,35.04,2.87,24.09,Barley,Vegetative,33.68,97.64,78.22,9.12,Inorganic,192.59,2957.66,245.5,1449.01
Loamy,6.68,30.99,38.02,33.72,3.24,18.81,Barley,Flowering,20.54,112.77,81.94,6.68,Organic,242.85,4196.54,158.21,1957.71
Clay,6.94,66.12,33.28,33.01,1.95,18.14,Oats,Fruit development,22.42,119.67,65.37,7.25,Inorganic,245.71,3531.82,281.78,1343.09
Loamy,6.99,32.83,38.44,35.86,3.02,34.8,Soybean,Maturity,22.85,142.14,65.05,8.28,Mixed,240.89,3732.24,189.92,1337.16
Loamy,6.53,45.06,38.31,37.95,1.73,33.26,Corn,Vegetative,20.89,137.31,50.81,8.79,Mixed,177.99,3838.14,194.45,1773.32
Sandy,6.16,33.24,37.83,44.89,1.68,25.47,Barley,Maturity,29.27,82.84,82.8,9.5,Organic,207.56,4289.24,264.41,1484.28
Clay,7.17,60.76,37.71,49.11,2.48,30.31,Corn,Germination,23.15,62.0,54.57,9.79,Inorganic,155.49,3385.92,256.69,1725.61
Sandy,6.12,35.65,22.35,48.38,2.1,28.48,Barley,Flowering,27.24,60.43,65.77,8.85,Organic,238.37,4326.75,296.18,1800.45
Sandy,6.52,65.39,22.87,39.52,2.63,16.5,Corn,Vegetative,30.28,146.87,71.0,6.2,Inorganic,232.48,4484.95,208.45,1665.13
Clay,6.3,51.21,22.36,39.23,2.86,25.36,Maize,Fruit development,28.93,145.58,84.78,7.54,Inorganic,204.82,3961.29,220.9,1798.28
Loamy,7.21,67.94,21.82,32.51,1.95,18.68,Rice,Flowering,24.35,131.95,63.97,6.73,Inorganic,122.11,4064.08,268.65,1724.41
Loamy,6.36,41.61,27.07,49.43,2.9,26.68,Barley,Germination,26.21,148.05,73.4,9.33,Inorganic,153.7,4414.68,274.09,1281.85
Clay,6.27,48.17,33.68,45.2,3.49,16.24,Barley,Maturity,25.1,77.42,83.34,7.48,Inorganic,240.07,3581.79,160.28,1918.99
Loamy,6.88,57.77,27.09,46.95,3.02,18.26,Barley,Flowering,32.79,132.56,70.0,9.28,Inorganic,221.23,3515.07,170.98,1483.34
Clay,6.7,63.28,34.41,34.68,1.85,30.63,Oats,Maturity,26.3,100.22,68.7,9.87,Inorganic,119.09,2514.16,225.17,1607.04
Clay,5.71,46.85,36.41,38.02,2.77,31.86,Soybean,Vegetative,20.93,129.92,70.06,6.44,Organic,243.67,3002.72,242.59,1399.36
Sandy,6.52,65.7,33.32,32.05,1.52,33.15,Oats,Germination,29.29,111.08,78.63,5.15,Mixed,116.76,3622.5,292.46,1682.69
Clay,6.97,34.72,29.3,48.82,2.44,32.93,Rice,Fruit development,22.97,134.62,51.49,6.07,Organic,102.33,4437.52,203.12,1237.32
Sandy,7.48,58.35,25.91,35.72,2.57,33.14,Corn,Flowering,25.08,89.73,76.6,8.2,Inorganic,170.48,3284.89,235.87,1596.59
Loamy,6.76,43.93,22.49,41.92,3.44,16.89,Corn,Maturity,24.92,148.91,56.03,9.05,Inorganic,236.01,4292.03,247.51,1847.38
Loamy,6.24,34.05,29.87,33.04,2.97,28.19,Rice,Germination,21.09,71.92,76.85,8.74,Mixed,119.24,2876.93,192.26,1293.6
Loamy,5.95,45.47,34.39,46.06,2.91,29.02,Wheat,Germination,34.26,117.26,78.0,9.01,Organic,107.98,3473.62,291.36,1997.63
Loamy,7.25,65.21,30.96,33.73,2.56,20.36,Wheat,Vegetative,28.21,130.26,71.92,9.62,Inorganic,218.66,3161.71,183.15,1974.21
Sandy,7.13,69.22,34.43,46.19,2.53,34.86,Rice,Flowering,22.34,108.58,65.37,6.12,Organic,171.37,3890.82,151.99,1838.11
Loamy,5.97,45.71,26.7,38.04,3.48,20.72,Corn,Vegetative,28.34,79.03,75.64,5.25,Inorganic,249.97,4160.48,236.7,1775.97
Clay,5.9,65.46,21.34,41.56,1.54,26.5,Barley,Vegetative,26.77,106.13,50.67,6.64,Mixed,118.48,2507.19,245.07,1786.08
Clay,6.93,50.39,35.42,35.39,2.11,32.45,Soybean,Vegetative,25.17,100.47,72.71,9.27,Inorganic,107.13,2577.31,239.93,1301.26
Clay,6.13,58.68,24.39,47.66,1.77,20.78,Wheat,Germination,27.09,69.01,58.13,8.64,Mixed,143.18,3642.31,187.56,1762.59
Sandy,6.11,31.81,32.33,45.2,2.13,27.13,Barley,Maturity,30.04,126.32,73.12,5.17,Mixed,115.49,3560.62,273.16,1511.12
Loamy,5.8,52.29,36.09,37.09,2.43,29.4,Oats,Maturity,22.99,76.72,54.82,5.77,Inorganic,111.14,3653.46,167.49,1752.21
Loamy,6.03,32.81,22.78,41.71,2.18,27.53,Barley,Fruit development,28.07,133.21,56.28,9.65,Organic,249.47,2687.97,156.06,1547.55
Loamy,6.36,40.74,31.97,32.58,3.43,23.12,Barley,Fruit development,32.19,71.43,65.81,7.48,Inorganic,236.06,3215.34,188.23,1397.66
Sandy,6.97,52.67,33.79,33.21,2.86,33.9,Rice,Maturity,23.34,100.23,68.55,8.2,Mixed,179.13,2527.82,221.38,1879.18
Clay,6.17,62.29,34.93,40.67,2.96,27.25,Maize,Vegetative,27.73,119.52,64.57,5.47,Mixed,105.4,4380.38,278.57,1383.3
Clay,6.16,52.44,22.95,42.81,2.98,19.49,Rice,Germination,34.49,149.58,71.39,7.88,Inorganic,226.91,3111.24,182.24,1253.69
Loamy,6.07,67.45,36.5,41.15,3.3,31.12,Corn,Vegetative,32.01,77.1,51.87,9.23,Inorganic,155.14,2717.48,272.23,1419.04
Clay,6.46,62.41,21.88,41.19,3.04,28.12,Oats,Vegetative,28.9,113.56,56.77,9.51,Mixed,209.26,3854.23,239.69,1898.02
Clay,5.86,36.25,30.39,44.85,1.53,17.19,Rice,Vegetative,31.24,65.34,50.13,7.25,Mixed,211.37,2780.02,263.94,1441.47
Sandy,6.47,45.56,28.87,48.05,2.02,20.56,Wheat,Flowering,27.88,131.96,69.81,7.93,Mixed,232.35,2582.33,216.53,1663.64
Sandy,6.91,56.74,24.44,37.75,3.48,18.16,Wheat,Flowering,34.8,136.14,74.17,8.65,Organic,249.84,3093.24,154.75,1860.73
Sandy,5.56,67.54,26.04,40.74,2.8,16.45,Barley,Vegetative,22.54,138.8,66.93,6.99,Mixed,236.89,4333.6,183.52,1471.6
Sandy,5.52,69.51,23.29,47.86,1.64,19.6,Rice,Fruit development,30.79,144.55,66.14,6.46,Organic,215.62,3853.18,195.27,1690.98
Loamy,5.65,60.53,28.51,39.29,2.43,20.56,Barley,Fruit development,20.09,85.57,64.9,5.45,Organic,151.65,2510.82,161.45,1824.46
Sandy,6.57,52.95,20.71,38.9,3.46,24.33,Soybean,Maturity,21.89,116.64,61.76,5.98,Inorganic,234.81,4386.86,173.57,1528.84
Clay,7.21,60.26,37.78,45.33,3.49,34.39,Rice,Germination,30.83,81.57,70.59,9.91,Mixed,143.7,4280.75,170.0,1440.9
Loamy,5.51,40.93,23.27,47.55,2.36,33.87,Soybean,Flowering,31.39,130.38,50.21,9.36,Organic,197.36,2862.2,172.12,1383.36
Clay,7.37,41.34,37.72,44.75,3.29,30.07,Oats,Vegetative,20.59,91.56,70.84,6.73,Organic,248.06,3516.37,244.68,1673.94
Clay,5.71,56.17,37.27,32.0,2.68,27.93,Wheat,Flowering,25.01,105.49,67.15,9.15,Mixed,234.95,4364.03,208.44,1604.85
Clay,7.18,64.87,29.03,39.3,2.52,33.95,Oats,Maturity,21.77,63.3,71.89,8.82,Organic,183.77,3817.72,260.37,1686.7
Sandy,6.47,68.79,29.95,34.24,2.32,17.85,Maize,Fruit development,33.35,135.05,79.91,9.84,Organic,117.7,2514.91,247.02,1411.36
Sandy,6.82,43.65,26.04,36.35,3.28,21.61,Soybean,Fruit development,26.81,98.29,79.01,5.2,Mixed,218.18,2810.98,170.0,1824.96
Loamy,6.52,61.86,39.94,39.38,2.74,26.07,Rice,Germination,26.64,114.05,78.25,7.9,Inorganic,184.95,2516.52,217.47,1504.33
Loamy,6.45,64.06,33.42,34.43,2.17,31.28,Corn,Germination,32.36,116.93,64.4,8.5,Inorganic,187.25,3964.5,213.06,1884.69
Sandy,7.17,54.93,39.04,40.32,2.48,27.48,Corn,Maturity,30.43,77.43,63.65,9.15,Mixed,181.33,3903.25,229.37,1375.09
Clay,7.01,43.9,28.3,42.87,2.39,31.18,Rice,Germination,33.83,129.5,57.24,9.01,Organic,149.46,3208.37,277.56,1997.18
Loamy,6.47,54.76,37.66,47.5,2.4,18.06,Wheat,Maturity,34.08,133.3,51.11,6.38,Mixed,117.58,2869.72,193.18,1472.11
Sandy,5.72,53.38,28.96,34.23,2.12,18.85,Wheat,Flowering,24.7,101.58,67.68,8.52,Organic,142.79,4498.5,230.13,1282.39
Sandy,5.73,54.26,37.34,36.21,2.77,29.81,Wheat,Vegetative,29.73,140.24,84.12,9.05,Mixed,219.92,3617.94,206.75,1234.14
Sandy,7.1,54.77,22.62,38.12,1.6,21.97,Rice,Fruit development,28.13,66.09,76.33,7.58,Inorganic,110.87,3443.6,283.74,1683.76
Clay,6.56,63.88,32.74,34.49,3.27,23.72,Corn,Vegetative,28.94,91.44,69.16,7.51,Inorganic,198.8,4102.08,186.68,1552.95
Sandy,6.46,36.8,33.57,36.64,2.33,30.83,Maize,Flowering,29.38,54.43,60.43,7.21,Mixed,147.7,3681.43,196.94,1666.98
Sandy,6.86,44.69,33.12,47.67,3.1,16.4,Corn,Germination,20.9,89.86,54.26,6.04,Inorganic,148.25,2812.22,221.36,1335.95
Sandy,7.22,53.44,28.94,32.77,2.96,18.36,Wheat,Fruit development,33.43,149.7,59.23,9.17,Inorganic,178.43,2966.16,199.63,1501.39
Sandy,6.76,41.33,33.68,38.87,2.44,20.92,Rice,Germination,22.1,96.32,68.7,7.51,Mixed,159.22,4153.75,264.89,1550.57
Loamy,7.03,69.13,24.79,36.22,1.9,32.67,Rice,Vegetative,26.37,91.92,71.84,5.67,Mixed,224.46,3480.55,277.85,1504.46
Loamy,7.03,40.53,31.92,31.54,2.62,23.1,Maize,Germination,24.38,118.78,62.81,9.57,Inorganic,231.37,2851.37,228.6,1890.83
Sandy,6.21,48.79,31.08,31.92,3.4,20.04,Corn,Maturity,28.31,54.86,53.67,9.22,Mixed,220.56,4411.55,198.67,1727.92
Clay,6.05,65.09,26.37,45.7,1.87,28.57,Wheat,Vegetative,34.42,85.38,59.2,7.11,Organic,237.41,4094.61,247.69,1843.73
Loamy,7.1,33.2,35.58,47.05,2.01,15.61,Maize,Germination,26.19,103.31,59.0,8.91,Organic,178.4,4139.48,214.1,1757.29
Sandy,6.25,62.83,21.62,44.83,3.49,30.5,Wheat,Vegetative,29.05,98.41,68.73,5.83,Mixed,150.89,4299.2,241.34,1989.17
Loamy,7.31,52.84,23.43,40.78,3.29,28.96,Corn,Germination,22.12,114.25,53.62,9.86,Inorganic,138.5,3150.79,251.69,1853.3
Loamy,5.64,31.27,29.42,45.45,2.6,16.1,Maize,Germination,26.95,63.89,60.09,5.43,Organic,223.53,2931.33,265.25,1986.52
Clay,5.62,66.12,37.83,33.04,2.89,24.96,Wheat,Vegetative,33.74,90.26,62.03,9.41,Organic,140.75,2879.29,243.05,1833.06
Sandy,7.35,31.57,31.5,45.6,2.39,23.08,Soybean,Flowering,33.99,113.36,68.45,9.99,Organic,204.29,3893.85,242.08,1530.72
Sandy,6.8,50.61,36.84,38.47,2.31,18.16,Rice,Vegetative,28.2,80.17,60.46,6.45,Organic,152.41,2973.06,298.29,1305.83
Clay,6.26,31.96,30.35,45.01,2.39,18.08,Corn,Fruit development,31.53,111.29,55.24,9.06,Mixed,179.35,3589.76,190.57,1505.9
Clay,7.01,32.85,35.71,34.55,2.33,18.2,Rice,Fruit development,20.05,145.83,50.89,9.57,Inorganic,227.55,4281.1,221.28,1936.5
Sandy,6.84,65.49,26.52,46.65,2.85,26.99,Oats,Flowering,27.97,143.04,56.06,9.76,Inorganic,124.66,2554.04,191.22,1589.03
Sandy,6.56,60.63,36.3,41.36,2.16,18.42,Wheat,Germination,30.99,122.55,78.87,8.6,Organic,145.88,2748.54,281.54,1459.09
Clay,5.7,37.88,28.03,30.15,1.84,16.19,Maize,Vegetative,24.95,67.76,62.26,8.1,Inorganic,111.25,3349.86,279.96,1605.82
Loamy,7.12,54.82,31.18,40.39,2.91,34.15,Wheat,Germination,33.52,128.42,68.86,5.52,Mixed,154.01,4364.96,157.57,1830.94
Loamy,7.23,61.79,23.52,36.21,1.56,15.78,Oats,Germination,31.69,94.67,67.15,7.35,Inorganic,204.66,3446.54,253.29,1699.63
Clay,5.84,65.58,38.41,31.15,2.94,28.28,Barley,Fruit development,31.55,145.17,59.67,6.97,Inorganic,183.48,3498.56,289.59,1621.56
Loamy,7.2,48.73,34.03,38.95,2.03,33.72,Soybean,Vegetative,20.32,111.14,79.52,5.11,Organic,151.36,2598.51,273.97,1984.46
Clay,7.26,65.9,37.18,36.23,1.88,15.76,Soybean,Maturity,22.76,71.76,82.85,6.43,Organic,165.63,3632.05,248.86,1677.67
Loamy,6.6,50.31,24.16,34.09,2.26,34.31,Corn,Fruit development,30.7,81.24,57.43,8.72,Mixed,134.4,4498.12,197.22,1305.26
Loamy,6.81,57.53,21.35,36.98,1.73,25.05,Oats,Germination,28.43,81.91,78.26,6.52,Organic,195.45,3802.58,220.9,1829.7
Sandy,6.26,69.16,26.74,33.59,2.27,30.7,Rice,Germination,28.68,77.63,76.45,5.17,Mixed,124.49,4423.46,155.49,1335.1
Sandy,6.06,39.44,30.33,36.0,1.7,27.5,Barley,Maturity,20.22,127.18,79.34,8.85,Organic,141.72,4352.33,185.77,1883.63
Loamy,6.94,36.74,36.05,32.31,2.47,27.34,Wheat,Germination,26.63,83.67,64.31,9.04,Organic,207.51,4168.9,291.1,1370.31
Loamy,7.22,43.68,27.95,31.69,1.85,30.78,Barley,Flowering,31.8,69.56,74.02,5.14,Mixed,147.23,2929.78,223.97,1929.18
Sandy,6.81,36.58,25.4,48.2,1.76,16.31,Oats,Maturity,29.95,109.61,56.65,9.18,Organic,211.77,3436.43,174.03,1767.22
Sandy,6.52,41.37,27.45,48.06,2.66,22.85,Soybean,Germination,28.59,96.48,83.88,8.98,Mixed,120.14,3679.34,247.06,1824.93
Sandy,5.82,59.72,34.07,46.56,2.75,34.39,Maize,Fruit development,30.45,52.22,75.29,8.1,Mixed,206.04,3866.59,170.38,1974.23
Clay,5.61,49.1,26.72,34.61,1.51,16.09,Wheat,Fruit development,32.76,77.91,52.68,5.22,Organic,170.92,3619.97,223.2,1430.49
Loamy,6.39,45.0,39.58,44.52,2.28,20.26,Corn,Flowering,32.74,53.82,80.73,9.72,Inorganic,176.78,3652.73,276.53,1474.33
Sandy,5.6,44.75,23.5,41.79,1.66,28.44,Maize,Maturity,26.84,126.7,83.57,5.5,Mixed,170.06,2983.89,250.12,1622.04
Loamy,6.64,37.78,35.06,31.02,2.98,17.01,Rice,Maturity,24.62,145.1,61.68,8.6,Mixed,139.15,2864.78,242.56,1661.33
Clay,6.27,47.9,31.78,47.99,2.86,25.73,Corn,Germination,25.5,100.02,68.86,8.82,Mixed,196.43,2912.74,264.84,1648.67
Clay,7.01,54.99,24.66,49.96,1.6,29.27,Rice,Germination,27.82,105.82,84.72,9.74,Mixed,147.43,3071.0,270.57,1713.2
Sandy,6.11,35.57,35.07,44.17,3.38,30.15,Rice,Vegetative,21.34,134.51,65.78,9.74,Organic,166.98,2933.43,242.48,1939.21
Clay,6.69,68.91,28.95,34.63,3.42,26.22,Soybean,Flowering,28.86,51.9,73.3,6.39,Mixed,142.17,3191.46,258.58,1393.53
Loamy,6.58,47.73,33.65,41.09,2.17,25.01,Oats,Maturity,26.8,66.23,65.84,6.16,Organic,157.01,3759.42,189.79,1276.41
Sandy,5.51,67.92,33.25,32.19,1.76,29.28,Barley,Germination,31.38,115.44,52.65,7.05,Inorganic,100.42,3936.84,255.25,1271.1
Loamy,5.64,35.39,22.21,35.98,1.73,17.9,Oats,Maturity,24.11,124.17,67.83,9.68,Organic,175.34,3452.54,167.33,1566.63
Loamy,6.08,60.69,36.8,44.35,3.18,28.61,Rice,Flowering,20.99,112.62,78.94,8.62,Inorganic,176.55,2881.34,225.95,1585.52
Clay,7.26,54.71,33.63,36.02,2.42,33.38,Maize,Fruit development,33.42,143.92,51.45,9.56,Mixed,178.68,3770.69,277.58,1991.88
Clay,5.79,62.8,35.61,32.94,1.52,28.66,Maize,Flowering,21.02,89.24,65.43,6.09,Inorganic,172.4,4271.17,217.04,1302.89
Clay,6.92,54.03,28.96,30.15,3.35,15.93,Oats,Maturity,33.91,105.51,78.78,5.34,Inorganic,163.9,3958.51,193.47,1466.02
Clay,7.45,68.51,23.9,41.45,2.69,25.12,Maize,Germination,27.46,145.64,62.37,5.12,Inorganic,199.74,2682.45,241.89,1811.26
Clay,7.08,55.08,26.52,49.37,2.88,29.53,Barley,Maturity,20.84,139.96,84.21,5.36,Organic,130.24,2804.04,173.29,1331.85
Sandy,5.99,61.38,38.03,39.68,3.15,15.86,Wheat,Vegetative,21.89,53.08,63.41,9.21,Inorganic,186.19,3634.49,185.25,1888.43
Loamy,7.32,65.1,38.76,34.25,3.14,30.24,Barley,Flowering,27.99,85.21,77.41,9.36,Mixed,235.04,3860.86,187.97,1448.91
Loamy,5.69,58.58,29.64,39.27,1.65,20.63,Soybean,Vegetative,20.24,123.9,58.6,9.59,Mixed,117.91,3056.81,205.12,1203.88
Loamy,6.44,50.97,25.98,42.04,2.65,26.78,Barley,Maturity,33.73,50.09,61.63,7.04,Organic,122.85,2908.05,214.43,1522.87
Loamy,7.28,40.91,34.61,46.03,2.89,34.33,Soybean,Maturity,31.94,136.3,75.24,7.33,Mixed,229.94,3283.23,272.88,1461.58
Clay,6.78,64.18,35.32,39.05,1.67,34.9,Maize,Vegetative,27.57,100.21,52.0,5.95,Organic,235.98,2872.82,191.69,1748.55
Loamy,6.33,49.22,36.31,33.46,1.94,27.69,Wheat,Germination,33.89,58.66,53.28,7.21,Organic,215.42,3513.86,232.15,1570.86
Sandy,6.09,54.83,20.62,33.76,2.29,24.83,Barley,Germination,23.9,94.25,59.34,5.78,Inorganic,110.5,2648.4,188.89,1365.93
Sandy,6.25,33.17,20.19,47.99,3.27,18.55,Rice,Flowering,32.8,99.26,58.78,8.09,Inorganic,115.53,4080.28,187.79,1353.51
Loamy,6.52,49.89,27.14,34.72,3.2,19.17,Rice,Vegetative,32.08,86.69,52.31,5.08,Inorganic,231.13,3990.25,207.23,1728.78
Loamy,6.14,57.93,23.05,44.56,3.06,23.58,Rice,Flowering,28.73,95.43,84.02,7.14,Mixed,249.66,2879.76,153.3,1752.9
Sandy,7.44,53.36,36.1,35.38,3.48,29.05,Soybean,Flowering,24.78,139.14,60.27,9.92,Mixed,224.98,3945.59,257.06,1854.99
Sandy,7.37,47.94,30.66,44.41,1.99,30.39,Rice,Fruit development,28.37,82.41,75.29,9.97,Inorganic,240.84,3297.36,151.38,1980.93
Clay,7.24,38.94,36.51,31.57,2.44,19.44,Wheat,Flowering,34.36,146.09,63.76,8.87,Organic,238.23,3455.35,201.51,1628.63
Sandy,6.34,42.39,23.54,34.15,2.39,25.71,Wheat,Flowering,21.27,118.7,84.68,6.49,Inorganic,140.9,3252.79,190.08,1852.01
Clay,6.88,58.02,32.54,38.17,2.86,26.83,Barley,Fruit development,23.02,139.6,54.91,5.99,Inorganic,164.94,4321.01,298.1,1321.36
Clay,7.31,38.97,31.6,40.31,3.2,32.86,Barley,Flowering,29.66,70.9,63.1,5.18,Mixed,228.48,3817.5,242.73,1332.93
Clay,7.2,54.87,26.81,37.06,2.48,32.53,Rice,Flowering,30.18,99.18,65.11,7.09,Inorganic,162.09,3123.68,165.61,1813.55
Clay,6.33,53.59,30.34,41.47,2.48,31.35,Soybean,Flowering,22.47,106.54,75.11,7.3,Organic,147.22,4038.12,291.81,1257.96
Clay,5.72,68.82,31.78,36.51,2.72,25.33,Corn,Vegetative,32.09,58.53,67.36,5.4,Mixed,111.7,3228.5,184.72,1773.06
Loamy,5.65,32.43,37.79,43.57,2.98,16.3,Maize,Fruit development,33.93,99.36,76.26,9.34,Inorganic,143.38,2639.58,270.79,1331.48
Sandy,6.65,34.32,21.11,40.22,1.9,21.69,Rice,Germination,21.19,136.1,79.44,8.25,Inorganic,247.6,3178.53,299.45,1398.31
Clay,6.79,50.24,36.47,44.1,3.42,27.43,Oats,Flowering,34.61,55.22,60.12,6.9,Organic,239.4,2567.09,297.13,1415.08
Sandy,7.2,51.08,39.6,38.62,1.68,27.75,Rice,Vegetative,24.22,114.23,78.14,9.28,Mixed,226.4,2742.11,267.94,1884.38
Sandy,6.09,31.6,34.64,47.53,1.55,31.98,Barley,Vegetative,24.63,148.88,67.2,7.06,Mixed,213.88,2593.17,299.96,1338.52
Clay,5.83,63.03,34.75,37.64,2.22,22.59,Oats,Vegetative,20.67,102.74,52.68,9.24,Organic,140.41,3275.28,177.43,1327.47
Loamy,6.26,49.79,24.36,36.16,2.9,33.73,Maize,Fruit development,27.46,80.34,60.4,7.48,Mixed,138.83,4456.35,264.22,1249.69
Clay,6.21,43.87,30.46,41.14,3.46,18.26,Oats,Fruit development,34.32,108.49,78.1,8.18,Organic,174.61,4239.33,241.74,1988.79
Loamy,5.76,42.75,34.12,40.18,3.37,16.0,Corn,Maturity,22.41,104.14,63.61,5.55,Organic,184.54,4170.06,261.46,1636.67
Sandy,6.84,64.46,32.05,40.36,2.88,18.53,Barley,Flowering,28.65,60.52,53.26,6.29,Mixed,160.52,2508.92,185.9,1694.56
Loamy,6.52,37.87,27.7,45.92,2.37,24.25,Rice,Germination,24.12,71.43,72.34,8.26,Organic,184.0,3058.91,286.2,1915.96
Loamy,6.94,36.42,38.8,41.77,2.69,31.46,Rice,Germination,20.28,116.94,79.76,7.05,Inorganic,171.86,2912.8,175.43,1299.78
Loamy,6.21,38.53,30.28,47.71,3.44,18.08,Corn,Maturity,34.81,109.26,54.65,5.67,Inorganic,192.55,4098.74,169.13,1306.74
Sandy,6.15,55.0,39.4,42.38,2.03,25.96,Maize,Germination,30.74,84.43,69.01,5.77,Inorganic,179.02,2578.0,284.24,1446.81
Sandy,6.45,62.44,31.28,30.43,2.46,30.53,Wheat,Flowering,31.03,147.85,57.27,8.54,Mixed,132.6,3991.97,261.4,1248.41
Loamy,7.25,43.24,35.87,47.41,2.89,15.7,Oats,Germination,29.94,114.48,61.82,8.42,Inorganic,179.19,3696.12,240.27,1997.53
Loamy,5.58,36.94,34.84,46.8,1.52,15.83,Rice,Flowering,22.16,73.08,64.49,8.6,Inorganic,179.29,2859.18,260.7,1789.77
Clay,7.11,38.37,33.22,30.98,2.26,24.81,Rice,Fruit development,23.1,97.12,50.18,8.61,Mixed,109.4,3792.59,151.42,1855.72
Loamy,6.24,54.77,20.29,32.51,2.64,18.65,Barley,Fruit development,25.79,121.16,62.45,9.81,Organic,139.2,3067.45,277.25,1923.77
Clay,7.21,39.84,21.55,41.13,3.3,24.01,Soybean,Flowering,34.93,117.2,60.83,9.85,Organic,189.93,2803.14,157.58,1809.01
Loamy,7.1,65.09,31.63,30.86,3.48,15.88,Corn,Flowering,30.09,74.63,73.39,7.17,Organic,162.97,3209.4,227.33,1502.61
Clay,6.2,34.16,38.24,38.22,2.61,34.54,Rice,Fruit development,26.64,114.78,80.8,8.89,Organic,220.35,4347.36,154.72,1225.37
Sandy,6.89,31.29,32.02,49.51,3.39,28.08,Soybean,Flowering,27.27,83.29,53.68,8.69,Inorganic,109.31,3735.3,262.99,1266.7
Loamy,5.82,33.54,24.72,33.46,1.7,28.73,Barley,Maturity,33.83,95.75,66.9,5.87,Organic,119.07,3621.39,191.19,1218.83
Loamy,7.29,63.83,26.4,34.12,2.9,25.19,Barley,Fruit development,22.95,116.91,59.68,8.91,Organic,247.35,3961.39,216.78,1923.14
Loamy,6.31,56.05,32.46,43.53,2.3,31.5,Wheat,Germination,24.81,108.1,84.56,9.22,Organic,194.3,3339.08,297.76,1579.58
Loamy,6.41,68.31,31.94,30.88,3.0,31.67,Corn,Fruit development,25.56,121.27,77.31,5.19,Organic,190.88,3650.92,262.89,1998.63
Clay,6.91,43.45,39.11,46.41,3.24,18.18,Oats,Germination,33.46,88.18,54.12,7.62,Organic,215.04,3005.2,166.89,1510.56
Loamy,7.14,38.51,30.58,33.98,1.61,30.37,Wheat,Germination,31.65,125.2,62.91,6.25,Organic,148.44,3456.2,292.94,1523.36
Sandy,5.97,52.48,27.1,40.63,3.37,26.33,Soybean,Maturity,28.86,51.57,53.89,9.67,Organic,198.57,4048.6,220.88,1371.04
Sandy,6.82,51.51,30.5,34.98,1.64,30.25,Barley,Fruit development,24.72,68.8,77.55,5.42,Inorganic,168.2,3950.97,275.37,1461.87
Loamy,6.28,53.64,35.72,43.18,3.01,33.37,Maize,Fruit development,23.03,147.32,67.05,8.29,Organic,154.25,4106.66,169.39,1461.61
Sandy,6.24,43.9,30.81,41.74,1.64,21.7,Barley,Maturity,24.96,58.67,72.66,8.24,Mixed,125.58,3674.18,166.66,1983.64
Loamy,6.88,30.24,26.52,48.93,3.22,26.42,Corn,Fruit development,33.94,116.19,70.12,5.6,Organic,112.57,4188.11,189.55,1319.82
Loamy,6.27,31.4,26.77,38.91,1.91,30.75,Maize,Germination,33.65,141.68,56.39,8.83,Inorganic,102.35,2728.74,154.46,1954.25
